ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
12,Integer to Roman,55.1%,Medium,0.03370158881097552, https://leetcode.com/problems/integer-to-roman
617,Merge Two Binary Trees,74.1%,Easy,0.03264929866766111, https://leetcode.com/problems/merge-two-binary-trees
1114,Print in Order,65.7%,Easy,0.0317486983145803, https://leetcode.com/problems/print-in-order
55,Jump Game,34.6%,Medium,0.030985252381807864, https://leetcode.com/problems/jump-game
368,Largest Divisible Subset,38.0%,Medium,0.030351343424138456, https://leetcode.com/problems/largest-divisible-subset
176,Second Highest Salary,31.6%,Easy,0.029252542837437355, https://leetcode.com/problems/second-highest-salary
1108,Defanging an IP Address,87.5%,Easy,0.02901382119071579, https://leetcode.com/problems/defanging-an-ip-address
219,Contains Duplicate II,37.7%,Easy,0.028500979167549973, https://leetcode.com/problems/contains-duplicate-ii
11,Container With Most Water,50.8%,Medium,0.02727648457622222, https://leetcode.com/problems/container-with-most-water
343,Integer Break,50.4%,Medium,0.027157133968907482, https://leetcode.com/problems/integer-break
312,Burst Balloons,51.8%,Hard,0.02552786995334295, https://leetcode.com/problems/burst-balloons
220,Contains Duplicate III,20.9%,Medium,0.024876904755404577, https://leetcode.com/problems/contains-duplicate-iii
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.024228925974379843, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
836,Rectangle Overlap,48.6%,Easy,0.024228925974379843, https://leetcode.com/problems/rectangle-overlap
221,Maximal Square,37.7%,Medium,0.022108490754203434, https://leetcode.com/problems/maximal-square
18,4Sum,33.7%,Medium,0.022011160101351537, https://leetcode.com/problems/4sum
45,Jump Game II,30.6%,Hard,0.021353124470568974, https://leetcode.com/problems/jump-game-ii
300,Longest Increasing Subsequence,42.6%,Medium,0.020893943681912164, https://leetcode.com/problems/longest-increasing-subsequence
525,Contiguous Array,42.8%,Medium,0.01975372873623256, https://leetcode.com/problems/contiguous-array
229,Majority Element II,35.6%,Medium,0.019057270410286146, https://leetcode.com/problems/majority-element-ii
146,LRU Cache,33.2%,Medium,0.01827577993873683, https://leetcode.com/problems/lru-cache
200,Number of Islands,46.8%,Medium,0.017925481766054456, https://leetcode.com/problems/number-of-islands
993,Cousins in Binary Tree,52.0%,Easy,0.017414458368636587, https://leetcode.com/problems/cousins-in-binary-tree
6,ZigZag Conversion,36.3%,Medium,0.01726827253226344, https://leetcode.com/problems/zigzag-conversion
175,Combine Two Tables,60.8%,Easy,0.017235202581487984, https://leetcode.com/problems/combine-two-tables
994,Rotting Oranges,49.2%,Medium,0.017087941897195622, https://leetcode.com/problems/rotting-oranges
389,Find the Difference,55.3%,Easy,0.016978336534417868, https://leetcode.com/problems/find-the-difference
178,Rank Scores,45.8%,Medium,0.016785958549561074, https://leetcode.com/problems/rank-scores
191,Number of 1 Bits,49.8%,Easy,0.01673523624045844, https://leetcode.com/problems/number-of-1-bits
51,N-Queens,46.6%,Hard,0.016393809775676407, https://leetcode.com/problems/n-queens
322,Coin Change,35.5%,Medium,0.016022774188122292, https://leetcode.com/problems/coin-change
204,Count Primes,31.5%,Easy,0.015842612639489526, https://leetcode.com/problems/count-primes
59,Spiral Matrix II,53.9%,Medium,0.01579187969789165, https://leetcode.com/problems/spiral-matrix-ii
238,Product of Array Except Self,60.1%,Medium,0.015629897160874744, https://leetcode.com/problems/product-of-array-except-self
561,Array Partition I,72.0%,Easy,0.015186320707985562, https://leetcode.com/problems/array-partition-i
217,Contains Duplicate,56.0%,Easy,0.015106027431013205, https://leetcode.com/problems/contains-duplicate
198,House Robber,42.0%,Easy,0.014946565030639177, https://leetcode.com/problems/house-robber
54,Spiral Matrix,34.1%,Medium,0.014776167707688753, https://leetcode.com/problems/spiral-matrix
142,Linked List Cycle II,37.3%,Medium,0.014710955064667802, https://leetcode.com/problems/linked-list-cycle-ii
41,First Missing Positive,32.0%,Hard,0.014368063266920193, https://leetcode.com/problems/first-missing-positive
315,Count of Smaller Numbers After Self,41.5%,Hard,0.014352596574956585, https://leetcode.com/problems/count-of-smaller-numbers-after-self
24,Swap Nodes in Pairs,50.4%,Medium,0.013945066390122038, https://leetcode.com/problems/swap-nodes-in-pairs
703,Kth Largest Element in a Stream,49.7%,Easy,0.013898764390814973, https://leetcode.com/problems/kth-largest-element-in-a-stream
64,Minimum Path Sum,54.5%,Medium,0.013734383449598314, https://leetcode.com/problems/minimum-path-sum
44,Wildcard Matching,24.7%,Hard,0.013703537497261858, https://leetcode.com/problems/wildcard-matching
13,Roman to Integer,55.7%,Easy,0.013645103403569418, https://leetcode.com/problems/roman-to-integer
1192,Critical Connections in a Network,48.6%,Hard,0.01352742981715631, https://leetcode.com/problems/critical-connections-in-a-network
70,Climbing Stairs,47.8%,Easy,0.013494975575004323, https://leetcode.com/problems/climbing-stairs
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.013400535537482126, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
85,Maximal Rectangle,37.7%,Hard,0.013333530869465187, https://leetcode.com/problems/maximal-rectangle
344,Reverse String,68.5%,Easy,0.013014662307854044, https://leetcode.com/problems/reverse-string
137,Single Number II,52.4%,Medium,0.012527567532662891, https://leetcode.com/problems/single-number-ii
88,Merge Sorted Array,39.4%,Easy,0.011986958032982505, https://leetcode.com/problems/merge-sorted-array
543,Diameter of Binary Tree,48.4%,Easy,0.011898606798495848, https://leetcode.com/problems/diameter-of-binary-tree
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.011601058182762062, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
1051,Height Checker,71.1%,Easy,0.011468015591641189, https://leetcode.com/problems/height-checker
48,Rotate Image,56.7%,Medium,0.011428695823622754, https://leetcode.com/problems/rotate-image
148,Sort List,42.3%,Medium,0.011204599012863078, https://leetcode.com/problems/sort-list
236,Lowest Common Ancestor of a Binary Tree,45.7%,Medium,0.010575891759058162, https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree
92,Reverse Linked List II,38.8%,Medium,0.010427623162259089, https://leetcode.com/problems/reverse-linked-list-ii
234,Palindrome Linked List,39.3%,Easy,0.010171877938733932, https://leetcode.com/problems/palindrome-linked-list
61,Rotate List,30.0%,Medium,0.009925639799969955, https://leetcode.com/problems/rotate-list
113,Path Sum II,46.7%,Medium,0.009784813879998279, https://leetcode.com/problems/path-sum-ii
387,First Unique Character in a String,53.4%,Easy,0.009392680199054166, https://leetcode.com/problems/first-unique-character-in-a-string
96,Unique Binary Search Trees,52.9%,Medium,0.009242209964820877, https://leetcode.com/problems/unique-binary-search-trees
279,Perfect Squares,47.4%,Medium,0.009216655104924008, https://leetcode.com/problems/perfect-squares
20,Valid Parentheses,39.0%,Easy,0.009170695326061695, https://leetcode.com/problems/valid-parentheses
23,Merge k Sorted Lists,40.2%,Hard,0.009092808657599025, https://leetcode.com/problems/merge-k-sorted-lists
128,Longest Consecutive Sequence,45.1%,Hard,0.009051883485315484, https://leetcode.com/problems/longest-consecutive-sequence
295,Find Median from Data Stream,44.3%,Hard,0.00899893586856953, https://leetcode.com/problems/find-median-from-data-stream
139,Word Break,40.1%,Medium,0.008741314401573542, https://leetcode.com/problems/word-break
977,Squares of a Sorted Array,72.1%,Easy,0.008733679968754604, https://leetcode.com/problems/squares-of-a-sorted-array
49,Group Anagrams,56.9%,Medium,0.008538951314232168, https://leetcode.com/problems/group-anagrams
239,Sliding Window Maximum,43.0%,Hard,0.007898935224534491, https://leetcode.com/problems/sliding-window-maximum
56,Merge Intervals,39.3%,Medium,0.007796972706004796, https://leetcode.com/problems/merge-intervals
876,Middle of the Linked List,68.4%,Easy,0.007624893975696915, https://leetcode.com/problems/middle-of-the-linked-list
240,Search a 2D Matrix II,43.2%,Medium,0.0075829747244553335, https://leetcode.com/problems/search-a-2d-matrix-ii
16,3Sum Closest,46.0%,Medium,0.0075259057003469075, https://leetcode.com/problems/3sum-closest
10,Regular Expression Matching,26.8%,Hard,0.0071865203293987245, https://leetcode.com/problems/regular-expression-matching
1365,How Many Numbers Are Smaller Than the Current Number,85.6%,Easy,0.007109877088701047, https://leetcode.com/problems/how-many-numbers-are-smaller-than-the-current-number
110,Balanced Binary Tree,43.5%,Easy,0.007027435807456887, https://leetcode.com/problems/balanced-binary-tree
73,Set Matrix Zeroes,43.1%,Medium,0.0070151111959223245, https://leetcode.com/problems/set-matrix-zeroes
114,Flatten Binary Tree to Linked List,49.3%,Medium,0.006896579059060353, https://leetcode.com/problems/flatten-binary-tree-to-linked-list
118,Pascal's Triangle,52.5%,Easy,0.006749941254175012, https://leetcode.com/problems/pascals-triangle
83,Remove Duplicates from Sorted List,45.4%,Easy,0.006353261522609498, https://leetcode.com/problems/remove-duplicates-from-sorted-list
91,Decode Ways,24.7%,Medium,0.005968385368349129, https://leetcode.com/problems/decode-ways
152,Maximum Product Subarray,31.7%,Medium,0.005590510716885066, https://leetcode.com/problems/maximum-product-subarray
287,Find the Duplicate Number,55.5%,Medium,0.005501320434837602, https://leetcode.com/problems/find-the-duplicate-number
112,Path Sum,41.2%,Easy,0.00546972510956646, https://leetcode.com/problems/path-sum
278,First Bad Version,35.7%,Easy,0.005391575265790431, https://leetcode.com/problems/first-bad-version
237,Delete Node in a Linked List,63.8%,Easy,0.005144705881237697, https://leetcode.com/problems/delete-node-in-a-linked-list
155,Min Stack,44.5%,Easy,0.00474891074128171, https://leetcode.com/problems/min-stack
169,Majority Element,58.7%,Easy,0.004706444738837472, https://leetcode.com/problems/majority-element
35,Search Insert Position,42.6%,Easy,0.004646848510375352, https://leetcode.com/problems/search-insert-position
1470,Shuffle the Array,88.9%,Easy,0.004527967890154029, https://leetcode.com/problems/shuffle-the-array
125,Valid Palindrome,36.7%,Easy,0.0039805008274065926, https://leetcode.com/problems/valid-palindrome
215,Kth Largest Element in an Array,55.4%,Medium,0.003902443976931749, https://leetcode.com/problems/kth-largest-element-in-an-array
8,String to Integer (atoi),15.4%,Medium,0.0037925521897059712, https://leetcode.com/problems/string-to-integer-atoi
141,Linked List Cycle,41.1%,Easy,0.0034937584669245472, https://leetcode.com/problems/linked-list-cycle
101,Symmetric Tree,46.8%,Easy,0.0034057078469827435, https://leetcode.com/problems/symmetric-tree
14,Longest Common Prefix,35.4%,Easy,0.003320331762984143, https://leetcode.com/problems/longest-common-prefix
66,Plus One,43.0%,Easy,0.00326211347832938, https://leetcode.com/problems/plus-one
33,Search in Rotated Sorted Array,34.5%,Medium,0.003229976968332634, https://leetcode.com/problems/search-in-rotated-sorted-array
9,Palindrome Number,48.4%,Easy,0.0030379001110948244, https://leetcode.com/problems/palindrome-number
98,Validate Binary Search Tree,27.8%,Medium,0.002943776044013381, https://leetcode.com/problems/validate-binary-search-tree
104,Maximum Depth of Binary Tree,66.0%,Easy,0.002787846801433134, https://leetcode.com/problems/maximum-depth-of-binary-tree
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.0021239321954525975, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
26,Remove Duplicates from Sorted Array,45.1%,Easy,0.0019513153174351963, https://leetcode.com/problems/remove-duplicates-from-sorted-array
79,Word Search,35.6%,Medium,0.0016647248725526849, https://leetcode.com/problems/word-search
ID,Title,Acceptance,Difficulty,Frequency,Leetcode Question Link
1,Two Sum,45.6%,Easy,0.900096464956218, https://leetcode.com/problems/two-sum
2,Add Two Numbers,33.9%,Medium,0.7674901747071898, https://leetcode.com/problems/add-two-numbers
741,Cherry Pickup,33.9%,Hard,0.6348838844581617, https://leetcode.com/problems/cherry-pickup
21,Merge Two Sorted Lists,53.5%,Easy,0.5022775942091335, https://leetcode.com/problems/merge-two-sorted-lists
5,Longest Palindromic Substring,29.5%,Medium,0.36967130396010545, https://leetcode.com/problems/longest-palindromic-substring
3,Longest Substring Without Repeating Characters,30.4%,Medium,0.33543751206600453, https://leetcode.com/problems/longest-substring-without-repeating-characters
4,Median of Two Sorted Arrays,29.6%,Hard,0.30208546395829133, https://leetcode.com/problems/median-of-two-sorted-arrays
15,3Sum,26.8%,Medium,0.25552496081724957, https://leetcode.com/problems/3sum
1096,Brace Expansion II,62.2%,Hard,0.2363887780642304, https://leetcode.com/problems/brace-expansion-ii
7,Reverse Integer,25.8%,Easy,0.2202424163450189, https://leetcode.com/problems/reverse-integer
192,Word Frequency,25.8%,Medium,0.21614863444241852, https://leetcode.com/problems/word-frequency
274,H-Index,36.1%,Medium,0.19380371568797425, https://leetcode.com/problems/h-index
206,Reverse Linked List,62.5%,Easy,0.1563653350583309, https://leetcode.com/problems/reverse-linked-list
706,Design HashMap,61.3%,Easy,0.1476880076475794, https://leetcode.com/problems/design-hashmap
22,Generate Parentheses,62.7%,Medium,0.14612656455721032, https://leetcode.com/problems/generate-parentheses
175,Combine Two Tables,60.8%,Easy,0.1453647140234507, https://leetcode.com/problems/combine-two-tables
728,Self Dividing Numbers,74.3%,Easy,0.14501328757782014, https://leetcode.com/problems/self-dividing-numbers
726,Number of Atoms,49.0%,Hard,0.13804422079620546, https://leetcode.com/problems/number-of-atoms
146,LRU Cache,33.2%,Medium,0.13057313078965735, https://leetcode.com/problems/lru-cache
42,Trapping Rain Water,48.9%,Hard,0.12389276378675394, https://leetcode.com/problems/trapping-rain-water
446,Arithmetic Slices II - Subsequence,32.7%,Hard,0.12099331128663167, https://leetcode.com/problems/arithmetic-slices-ii-subsequence
6,ZigZag Conversion,36.3%,Medium,0.11677183708486526, https://leetcode.com/problems/zigzag-conversion
368,Largest Divisible Subset,38.0%,Medium,0.11624101530456815, https://leetcode.com/problems/largest-divisible-subset
238,Product of Array Except Self,60.1%,Medium,0.11255129774720934, https://leetcode.com/problems/product-of-array-except-self
82,Remove Duplicates from Sorted List II,36.8%,Medium,0.1110882064011508, https://leetcode.com/problems/remove-duplicates-from-sorted-list-ii
53,Maximum Subarray,46.5%,Easy,0.10102310445192379, https://leetcode.com/problems/maximum-subarray
725,Split Linked List in Parts,52.2%,Medium,0.1007562928969156, https://leetcode.com/problems/split-linked-list-in-parts
12,Integer to Roman,55.1%,Medium,0.09981819303484349, https://leetcode.com/problems/integer-to-roman
836,Rectangle Overlap,48.6%,Easy,0.09358079943969791, https://leetcode.com/problems/rectangle-overlap
31,Next Permutation,32.6%,Medium,0.09178119886142269, https://leetcode.com/problems/next-permutation
929,Unique Email Addresses,67.4%,Easy,0.09107126584446965, https://leetcode.com/problems/unique-email-addresses
11,Container With Most Water,50.8%,Medium,0.08887230664829432, https://leetcode.com/problems/container-with-most-water
214,Shortest Palindrome,29.8%,Hard,0.0753494372417868, https://leetcode.com/problems/shortest-palindrome
76,Minimum Window Substring,34.6%,Hard,0.07378420845373558, https://leetcode.com/problems/minimum-window-substring
987,Vertical Order Traversal of a Binary Tree,36.6%,Medium,0.070392125446596, https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree
1114,Print in Order,65.7%,Easy,0.0700675626167169, https://leetcode.com/problems/print-in-order
386,Lexicographical Numbers,51.6%,Medium,0.06875559541512997, https://leetcode.com/problems/lexicographical-numbers
178,Rank Scores,45.8%,Medium,0.06551667145414991, https://leetcode.com/problems/rank-scores
554,Brick Wall,50.0%,Medium,0.0639195177132874, https://leetcode.com/problems/brick-wall
771,Jewels and Stones,86.4%,Easy,0.06372709715833007, https://leetcode.com/problems/jewels-and-stones
92,Reverse Linked List II,38.8%,Medium,0.0634569616201148, https://leetcode.com/problems/reverse-linked-list-ii
23,Merge k Sorted Lists,40.2%,Hard,0.06293239083543646, https://leetcode.com/problems/merge-k-sorted-lists
300,Longest Increasing Subsequence,42.6%,Medium,0.06265630749555627, https://leetcode.com/problems/longest-increasing-subsequence
115,Distinct Subsequences,38.3%,Hard,0.061494781607806234, https://leetcode.com/problems/distinct-subsequences
195,Tenth Line,33.0%,Easy,0.06127490750055161, https://leetcode.com/problems/tenth-line
739,Daily Temperatures,63.3%,Medium,0.06111383323222972, https://leetcode.com/problems/daily-temperatures
420,Strong Password Checker,14.0%,Hard,0.061087691979838175, https://leetcode.com/problems/strong-password-checker
595,Big Countries,77.3%,Easy,0.06097126229595878, https://leetcode.com/problems/big-countries
18,4Sum,33.7%,Medium,0.05998439829836431, https://leetcode.com/problems/4sum
88,Merge Sorted Array,39.4%,Easy,0.059258174101133876, https://leetcode.com/problems/merge-sorted-array
74,Search a 2D Matrix,36.5%,Medium,0.057001980519332376, https://leetcode.com/problems/search-a-2d-matrix
312,Burst Balloons,51.8%,Hard,0.056547726798068784, https://leetcode.com/problems/burst-balloons
218,The Skyline Problem,34.6%,Hard,0.0564413109049518, https://leetcode.com/problems/the-skyline-problem
177,Nth Highest Salary,31.4%,Medium,0.0562934401878294, https://leetcode.com/problems/nth-highest-salary
41,First Missing Positive,32.0%,Hard,0.056273635982108605, https://leetcode.com/problems/first-missing-positive
30,Substring with Concatenation of All Words,25.4%,Hard,0.05509349054082484, https://leetcode.com/problems/substring-with-concatenation-of-all-words
202,Happy Number,50.4%,Easy,0.05503451923624455, https://leetcode.com/problems/happy-number
395,Longest Substring with At Least K Repeating Characters,41.4%,Medium,0.05371219359052555, https://leetcode.com/problems/longest-substring-with-at-least-k-repeating-characters
601,Human Traffic of Stadium,41.7%,Hard,0.05223119222544569, https://leetcode.com/problems/human-traffic-of-stadium
14,Longest Common Prefix,35.4%,Easy,0.051846064173015856, https://leetcode.com/problems/longest-common-prefix
681,Next Closest Time,45.0%,Medium,0.05045206096038863, https://leetcode.com/problems/next-closest-time
219,Contains Duplicate II,37.7%,Easy,0.05012010405957234, https://leetcode.com/problems/contains-duplicate-ii
16,3Sum Closest,46.0%,Medium,0.04613364174896058, https://leetcode.com/problems/3sum-closest
856,Score of Parentheses,60.5%,Medium,0.04567003683318837, https://leetcode.com/problems/score-of-parentheses
8,String to Integer (atoi),15.4%,Medium,0.04549614908874012, https://leetcode.com/problems/string-to-integer-atoi
176,Second Highest Salary,31.6%,Easy,0.045338680589061736, https://leetcode.com/problems/second-highest-salary
200,Number of Islands,46.8%,Medium,0.04526299408355752, https://leetcode.com/problems/number-of-islands
204,Count Primes,31.5%,Easy,0.04340205577484725, https://leetcode.com/problems/count-primes
669,Trim a Binary Search Tree,63.0%,Easy,0.04255961441879593, https://leetcode.com/problems/trim-a-binary-search-tree
448,Find All Numbers Disappeared in an Array,55.9%,Easy,0.04214343508255059, https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array
535,Encode and Decode TinyURL,79.9%,Medium,0.041978881338661234, https://leetcode.com/problems/encode-and-decode-tinyurl
155,Min Stack,44.5%,Easy,0.04194952712763244, https://leetcode.com/problems/min-stack
1010,Pairs of Songs With Total Durations Divisible by 60,47.4%,Easy,0.04180336980436055, https://leetcode.com/problems/pairs-of-songs-with-total-durations-divisible-by-60
545,Boundary of Binary Tree,38.9%,Medium,0.04158603377810283, https://leetcode.com/problems/boundary-of-binary-tree
37,Sudoku Solver,43.6%,Hard,0.040527833612118376, https://leetcode.com/problems/sudoku-solver
25,Reverse Nodes in k-Group,42.1%,Hard,0.040236757867738004, https://leetcode.com/problems/reverse-nodes-in-k-group
686,Repeated String Match,32.3%,Easy,0.03984590854719967, https://leetcode.com/problems/repeated-string-match
344,Reverse String,68.5%,Easy,0.0393340697038369, https://leetcode.com/problems/reverse-string
560,Subarray Sum Equals K,43.9%,Medium,0.037871360699521406, https://leetcode.com/problems/subarray-sum-equals-k
389,Find the Difference,55.3%,Easy,0.03780374555587777, https://leetcode.com/problems/find-the-difference
64,Minimum Path Sum,54.5%,Medium,0.03769479893530684, https://leetcode.com/problems/minimum-path-sum
45,Jump Game II,30.6%,Hard,0.037651506203688394, https://leetcode.com/problems/jump-game-ii
402,Remove K Digits,28.4%,Medium,0.03755134565213245, https://leetcode.com/problems/remove-k-digits
95,Unique Binary Search Trees II,40.6%,Medium,0.037535682530377985, https://leetcode.com/problems/unique-binary-search-trees-ii
46,Permutations,63.5%,Medium,0.03732163223353564, https://leetcode.com/problems/permutations
375,Guess Number Higher or Lower II,40.3%,Medium,0.036634133179780384, https://leetcode.com/problems/guess-number-higher-or-lower-ii
51,N-Queens,46.6%,Hard,0.03651521297509749, https://leetcode.com/problems/n-queens
279,Perfect Squares,47.4%,Medium,0.03636764417087485, https://leetcode.com/problems/perfect-squares
20,Valid Parentheses,39.0%,Easy,0.03618871742239114, https://leetcode.com/problems/valid-parentheses
875,Koko Eating Bananas,52.1%,Medium,0.0359751024582779, https://leetcode.com/problems/koko-eating-bananas
32,Longest Valid Parentheses,28.4%,Hard,0.03595893038744387, https://leetcode.com/problems/longest-valid-parentheses
322,Coin Change,35.5%,Medium,0.03569682997206547, https://leetcode.com/problems/coin-change
59,Spiral Matrix II,53.9%,Medium,0.0351873674509732, https://leetcode.com/problems/spiral-matrix-ii
977,Squares of a Sorted Array,72.1%,Easy,0.0344861760711693, https://leetcode.com/problems/squares-of-a-sorted-array
49,Group Anagrams,56.9%,Medium,0.03372685005765885, https://leetcode.com/problems/group-anagrams
121,Best Time to Buy and Sell Stock,50.5%,Easy,0.033453179586686504, https://leetcode.com/problems/best-time-to-buy-and-sell-stock
198,House Robber,42.0%,Easy,0.033320991026093004, https://leetcode.com/problems/house-robber
78,Subsets,62.0%,Medium,0.03270937553603224, https://leetcode.com/problems/subsets
543,Diameter of Binary Tree,48.4%,Easy,0.032708305572393875, https://leetcode.com/problems/diameter-of-binary-tree
617,Merge Two Binary Trees,74.1%,Easy,0.03264929866766111, https://leetcode.com/problems/merge-two-binary-trees
48,Rotate Image,56.7%,Medium,0.03142936253029228, https://leetcode.com/problems/rotate-image
239,Sliding Window Maximum,43.0%,Hard,0.031228142547585713, https://leetcode.com/problems/sliding-window-maximum
131,Palindrome Partitioning,47.5%,Medium,0.03101558050692165, https://leetcode.com/problems/palindrome-partitioning
55,Jump Game,34.6%,Medium,0.030985252381807864, https://leetcode.com/problems/jump-game
460,LFU Cache,34.2%,Hard,0.030962225603966897, https://leetcode.com/problems/lfu-cache
44,Wildcard Matching,24.7%,Hard,0.030573033362282363, https://leetcode.com/problems/wildcard-matching
13,Roman to Integer,55.7%,Easy,0.030443751414723153, https://leetcode.com/problems/roman-to-integer
316,Remove Duplicate Letters,35.8%,Hard,0.030443751414723153, https://leetcode.com/problems/remove-duplicate-letters
70,Climbing Stairs,47.8%,Easy,0.03011156054328408, https://leetcode.com/problems/climbing-stairs
329,Longest Increasing Path in a Matrix,43.4%,Hard,0.029902560173869868, https://leetcode.com/problems/longest-increasing-path-in-a-matrix
85,Maximal Rectangle,37.7%,Hard,0.029754261081792705, https://leetcode.com/problems/maximal-rectangle
201,Bitwise AND of Numbers Range,39.4%,Medium,0.02969780239174205, https://leetcode.com/problems/bitwise-and-of-numbers-range
1108,Defanging an IP Address,87.5%,Easy,0.02901382119071579, https://leetcode.com/problems/defanging-an-ip-address
33,Search in Rotated Sorted Array,34.5%,Medium,0.0287009496170278, https://leetcode.com/problems/search-in-rotated-sorted-array
35,Search Insert Position,42.6%,Easy,0.028694726692013624, https://leetcode.com/problems/search-insert-position
10,Regular Expression Matching,26.8%,Hard,0.02844130559772196, https://leetcode.com/problems/regular-expression-matching
709,To Lower Case,79.3%,Easy,0.02780531308033682, https://leetcode.com/problems/to-lower-case
159,Longest Substring with At Most Two Distinct Characters,49.4%,Medium,0.02717558537896476, https://leetcode.com/problems/longest-substring-with-at-most-two-distinct-characters
343,Integer Break,50.4%,Medium,0.027157133968907482, https://leetcode.com/problems/integer-break
98,Validate Binary Search Tree,27.8%,Medium,0.026187123416340663, https://leetcode.com/problems/validate-binary-search-tree
54,Spiral Matrix,34.1%,Medium,0.02611966966892215, https://leetcode.com/problems/spiral-matrix
81,Search in Rotated Sorted Array II,33.0%,Medium,0.026111144003685752, https://leetcode.com/problems/search-in-rotated-sorted-array-ii
378,Kth Smallest Element in a Sorted Matrix,54.3%,Medium,0.02599048981653746, https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix
143,Reorder List,37.1%,Medium,0.025870945598649286, https://leetcode.com/problems/reorder-list
107,Binary Tree Level Order Traversal II,53.5%,Easy,0.02545071360337261, https://leetcode.com/problems/binary-tree-level-order-traversal-ii
220,Contains Duplicate III,20.9%,Medium,0.024876904755404577, https://leetcode.com/problems/contains-duplicate-iii
877,Stone Game,64.8%,Medium,0.02486144206532915, https://leetcode.com/problems/stone-game
